season,game
1950,69
1951,71
1952,66
1953,72
1954,75
1955,74
1956,75
1957,72
1958,72
1959,72
1960,77
1961,79
1962,80
1963,80
1964,81
1965,80
1966,80
1967,81
1968,85
1969,88
1970,82
1971,86
1972,84
1973,82
1974,82
1975,85
1976,86
1977,87
1978,83
1979,82
1980,84
1981,84
1982,84
1983,83
1984,82
1985,82
1986,83
1987,82
1988,84
1989,82
1990,82
1991,82
1992,84
1993,83
1994,82
1995,82
1996,83
1997,83
1998,82
1999,50
2000,85
2001,83
2002,83
2003,83
2004,85
2005,84
2006,82
2007,82
2008,82
2009,82
2010,82
2011,83
2012,66
2013,82
2014,83
2015,83
2016,82
2017,82
